fips,date,zhvi
Los Angeles County,2016-04-30,523625.92777816224
San Diego County,2016-04-30,546588.8011646429
Orange County,2016-04-30,667998.946586118
Riverside County,2016-04-30,338562.85728137527
San Bernardino County,2016-04-30,278459.3166542778
Santa Clara County,2016-04-30,1039348.5984114024
Alameda County,2016-04-30,768136.0538341288
Sacramento County,2016-04-30,322701.5661619962
Contra Costa County,2016-04-30,570487.0885772584
Fresno County,2016-04-30,221990.7603739036
Kern County,2016-04-30,196602.79587635223
San Francisco County,2016-04-30,1246070.7203734668
Ventura County,2016-04-30,580233.9743499955
San Joaquin County,2016-04-30,314232.78225268185
San Mateo County,2016-04-30,1192699.833149951
Stanislaus County,2016-04-30,259183.7985494519
Sonoma County,2016-04-30,594181.6878576818
Tulare County,2016-04-30,185566.5111612951
Solano County,2016-04-30,371276.15863213845
Santa Barbara County,2016-04-30,584123.0089255628
Monterey County,2016-04-30,501983.1955564905
Placer County,2016-04-30,442726.33930843376
San Luis Obispo County,2016-04-30,525510.473655256
Merced County,2016-04-30,217249.51452310663
Santa Cruz County,2016-04-30,739783.8826655578
Marin County,2016-04-30,1118202.8108707268
Butte County,2016-04-30,260081.77864471552
Yolo County,2016-04-30,393484.4795969864
El Dorado County,2016-04-30,422855.26375213807
Shasta County,2016-04-30,232708.8658606081
Imperial County,2016-04-30,195435.49815619097
Madera County,2016-04-30,216303.91549239543
Kings County,2016-04-30,185905.4304499127
Napa County,2016-04-30,633637.5688084253
Humboldt County,2016-04-30,336107.83906237053
Nevada County,2016-04-30,404019.2539364612
Sutter County,2016-04-30,239308.57520372287
Mendocino County,2016-04-30,417611.581972254
Yuba County,2016-04-30,224814.03826214827
Lake County,2016-04-30,203102.36921963483
Tehama County,2016-04-30,187252.98888699757
San Benito County,2016-04-30,536275.5977359437
Tuolumne County,2016-04-30,287577.3009243599
Calaveras County,2016-04-30,273041.22509328206
Siskiyou County,2016-04-30,174505.22089028193
Amador County,2016-04-30,280444.6121920597
Lassen County,2016-04-30,143370.7168925477
Glenn County,2016-04-30,199514.4477197083
Del Norte County,2016-04-30,214791.68580463392
Colusa County,2016-04-30,206378.27215703475
Plumas County,2016-04-30,224041.02593338987
Inyo County,2016-04-30,289617.73184384144
Mariposa County,2016-04-30,272917.6177293074
Trinity County,2016-04-30,231967.4629753098
Mono County,2016-04-30,488519.5496641728
Modoc County,2016-04-30,109881.80115675736
Sierra County,2016-04-30,174217.03338686118
Alpine County,2016-04-30,394816.9716016475
Los Angeles County,2016-05-31,529689.8097730102
San Diego County,2016-05-31,547432.4801497041
Orange County,2016-05-31,673683.8731529526
Riverside County,2016-05-31,339382.522223362
San Bernardino County,2016-05-31,282813.5422567764
Santa Clara County,2016-05-31,1033000.3522670151
Alameda County,2016-05-31,770409.5672657877
Sacramento County,2016-05-31,324834.83219694946
Contra Costa County,2016-05-31,571986.6418141053
Fresno County,2016-05-31,222396.48911138295
Kern County,2016-05-31,196806.1947212454
San Francisco County,2016-05-31,1239891.3771013634
Ventura County,2016-05-31,581610.7608815389
San Joaquin County,2016-05-31,316609.28483500966
