fiscalYear,zcta,hudSafmr1Br,hudSafmr2Br,hudSafmr3Br,hudSafmr4Br,hudSafmr,sourceFile
2011,93401,970,1180,1720,1770,1410,fy2011_equiv_zc_rents_acs.xls
2011,93402,1090,1330,1940,1990,1588,fy2011_equiv_zc_rents_acs.xls
2011,93405,1070,1300,1890,1950,1552,fy2011_equiv_zc_rents_acs.xls
2011,93420,940,1140,1660,1710,1362,fy2011_equiv_zc_rents_acs.xls
2011,93422,890,1080,1570,1620,1290,fy2011_equiv_zc_rents_acs.xls
2011,93424,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93428,1150,1400,2040,2100,1672,fy2011_equiv_zc_rents_acs.xls
2011,93430,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93432,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93433,990,1210,1760,1810,1442,fy2011_equiv_zc_rents_acs.xls
2011,93442,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93444,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93445,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93446,890,1080,1570,1620,1290,fy2011_equiv_zc_rents_acs.xls
2011,93449,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93452,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93453,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93461,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2011,93465,980,1190,1730,1780,1420,fy2011_equiv_zc_rents_acs.xls
2012,93401,940,1150,1680,1720,1372,small_area_fmrs_fy2012.xls
2012,93402,1070,1300,1890,1950,1552,small_area_fmrs_fy2012.xls
2012,93405,1040,1270,1850,1900,1515,small_area_fmrs_fy2012.xls
2012,93420,910,1110,1620,1660,1325,small_area_fmrs_fy2012.xls
2012,93422,850,1030,1500,1540,1230,small_area_fmrs_fy2012.xls
2012,93424,950,1160,1690,1740,1385,small_area_fmrs_fy2012.xls
2012,93428,1120,1370,2000,2050,1635,small_area_fmrs_fy2012.xls
2012,93430,1040,1270,1850,1900,1515,small_area_fmrs_fy2012.xls
2012,93432,760,920,1340,1380,1100,small_area_fmrs_fy2012.xls
2012,93433,970,1180,1720,1770,1410,small_area_fmrs_fy2012.xls
2012,93442,890,1090,1590,1630,1300,small_area_fmrs_fy2012.xls
2012,93444,1090,1330,1940,1990,1588,small_area_fmrs_fy2012.xls
2012,93445,850,1030,1500,1540,1230,small_area_fmrs_fy2012.xls
2012,93446,850,1030,1500,1540,1230,small_area_fmrs_fy2012.xls
2012,93449,1070,1300,1890,1950,1552,small_area_fmrs_fy2012.xls
2012,93452,800,980,1430,1470,1170,small_area_fmrs_fy2012.xls
2012,93453,980,1190,1730,1780,1420,small_area_fmrs_fy2012.xls
2012,93461,1070,1300,1890,1950,1552,small_area_fmrs_fy2012.xls
2012,93465,900,1100,1600,1650,1312,small_area_fmrs_fy2012.xls
2013,93401,880,1140,1680,1750,1362,small_area_fmrs_fy2013.xls
2013,93402,960,1240,1830,1910,1485,small_area_fmrs_fy2013.xls
2013,93405,940,1210,1780,1860,1448,small_area_fmrs_fy2013.xls
2013,93420,880,1130,1670,1740,1355,small_area_fmrs_fy2013.xls
2013,93422,810,1040,1530,1600,1245,small_area_fmrs_fy2013.xls
2013,93424,920,1190,1750,1830,1422,small_area_fmrs_fy2013.xls
2013,93428,1010,1300,1920,2000,1558,small_area_fmrs_fy2013.xls
2013,93430,990,1280,1890,1970,1532,small_area_fmrs_fy2013.xls
2013,93432,680,880,1300,1350,1052,small_area_fmrs_fy2013.xls
2013,93433,890,1150,1690,1770,1375,small_area_fmrs_fy2013.xls
2013,93442,840,1080,1590,1660,1292,small_area_fmrs_fy2013.xls
2013,93444,1120,1440,2120,2210,1722,small_area_fmrs_fy2013.xls
2013,93445,770,1000,1470,1540,1195,small_area_fmrs_fy2013.xls
2013,93446,790,1020,1500,1570,1220,small_area_fmrs_fy2013.xls
2013,93449,1020,1310,1930,2010,1568,small_area_fmrs_fy2013.xls
2013,93452,840,1090,1610,1670,1302,small_area_fmrs_fy2013.xls
2013,93453,870,1120,1650,1720,1340,small_area_fmrs_fy2013.xls
2013,93461,980,1260,1860,1940,1510,small_area_fmrs_fy2013.xls
2013,93465,910,1180,1740,1810,1410,small_area_fmrs_fy2013.xls
2014,93401,950,1220,1800,1870,1460,small_area_fmrs_fy2014.xls
2014,93402,1020,1320,1950,2030,1580,small_area_fmrs_fy2014.xls
2014,93405,1010,1300,1920,2000,1558,small_area_fmrs_fy2014.xls
2014,93420,940,1210,1780,1860,1448,small_area_fmrs_fy2014.xls
2014,93422,860,1110,1640,1710,1330,small_area_fmrs_fy2014.xls
2014,93424,990,1280,1890,1970,1532,small_area_fmrs_fy2014.xls
2014,93428,1080,1390,2050,2140,1665,small_area_fmrs_fy2014.xls
2014,93430,1060,1370,2020,2110,1640,small_area_fmrs_fy2014.xls
2014,93432,730,940,1390,1440,1125,small_area_fmrs_fy2014.xls
2014,93433,950,1230,1810,1890,1470,small_area_fmrs_fy2014.xls
2014,93442,890,1150,1690,1770,1375,small_area_fmrs_fy2014.xls
2014,93444,1190,1540,2270,2370,1842,small_area_fmrs_fy2014.xls
2014,93445,830,1070,1580,1640,1280,small_area_fmrs_fy2014.xls
2014,93446,840,1090,1610,1670,1302,small_area_fmrs_fy2014.xls
2014,93449,1080,1400,2060,2150,1672,small_area_fmrs_fy2014.xls
2014,93452,910,1170,1720,1800,1400,small_area_fmrs_fy2014.xls
2014,93453,930,1200,1770,1840,1435,small_area_fmrs_fy2014.xls
2014,93461,1050,1350,1990,2070,1615,small_area_fmrs_fy2014.xls
2014,93465,980,1260,1860,1940,1510,small_area_fmrs_fy2014.xls
2015,93401,1020,1310,1930,2010,1568,small_area_fmrs_fy2015f.xls
2015,93402,1110,1430,2110,2200,1712,small_area_fmrs_fy2015f.xls
2015,93405,1080,1400,2060,2150,1672,small_area_fmrs_fy2015f.xls
2015,93420,1020,1310,1930,2010,1568,small_area_fmrs_fy2015f.xls
2015,93422,930,1200,1770,1840,1435,small_area_fmrs_fy2015f.xls
2015,93424,1060,1370,2020,2110,1640,small_area_fmrs_fy2015f.xls
2015,93428,1150,1490,2200,2290,1782,small_area_fmrs_fy2015f.xls
2015,93430,1150,1480,2180,2270,1770,small_area_fmrs_fy2015f.xls
2015,93432,780,1010,1490,1550,1208,small_area_fmrs_fy2015f.xls
2015,93433,1020,1320,1950,2030,1580,small_area_fmrs_fy2015f.xls
2015,93442,960,1240,1830,1910,1485,small_area_fmrs_fy2015f.xls
2015,93444,1290,1660,2450,2550,1988,small_area_fmrs_fy2015f.xls
2015,93445,890,1150,1690,1770,1375,small_area_fmrs_fy2015f.xls
2015,93446,910,1180,1740,1810,1410,small_area_fmrs_fy2015f.xls
2015,93449,1170,1510,2230,2320,1808,small_area_fmrs_fy2015f.xls
2015,93452,980,1260,1860,1940,1510,small_area_fmrs_fy2015f.xls
2015,93453,1000,1290,1900,1980,1542,small_area_fmrs_fy2015f.xls
2015,93461,1120,1450,2140,2230,1735,small_area_fmrs_fy2015f.xls
2015,93465,1050,1350,1990,2070,1615,small_area_fmrs_fy2015f.xls
2016,93401,980,1270,1850,2220,1580,final_fy2016_hypothetical_safmrs.xlsx
2016,93402,1100,1430,2080,2500,1778,final_fy2016_hypothetical_safmrs.xlsx
2016,93405,1130,1460,2130,2550,1818,final_fy2016_hypothetical_safmrs.xlsx
2016,93420,1020,1330,1940,2320,1652,final_fy2016_hypothetical_safmrs.xlsx
2016,93422,930,1210,1760,2110,1502,final_fy2016_hypothetical_safmrs.xlsx
2016,93424,870,1130,1650,1970,1405,final_fy2016_hypothetical_safmrs.xlsx
2016,93428,1120,1450,2110,2530,1802,final_fy2016_hypothetical_safmrs.xlsx
2016,93430,1020,1330,1940,2320,1652,final_fy2016_hypothetical_safmrs.xlsx
2016,93432,790,1030,1500,1800,1280,final_fy2016_hypothetical_safmrs.xlsx
2016,93433,990,1290,1880,2250,1602,final_fy2016_hypothetical_safmrs.xlsx
2016,93442,1030,1340,1950,2340,1665,final_fy2016_hypothetical_safmrs.xlsx
2016,93444,1180,1530,2230,2670,1902,final_fy2016_hypothetical_safmrs.xlsx
2016,93445,850,1100,1600,1920,1368,final_fy2016_hypothetical_safmrs.xlsx
2016,93446,930,1210,1760,2110,1502,final_fy2016_hypothetical_safmrs.xlsx
2016,93449,1200,1560,2270,2720,1938,final_fy2016_hypothetical_safmrs.xlsx
2016,93452,900,1170,1710,2040,1455,final_fy2016_hypothetical_safmrs.xlsx
