place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,428691,,2016-04-30,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1502,1502,HUD SAFMR,2016
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,433933,,2016-05-31,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1502,1502,HUD SAFMR,2016
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,438035,,2016-06-30,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1502,1502,HUD SAFMR,2016
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,441064,,2016-07-31,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1502,1502,HUD SAFMR,2016
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,444143,,2016-08-31,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1502,1502,HUD SAFMR,2016
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,447061,,2016-09-30,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1502,1502,HUD SAFMR,2016
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,450361,,2016-10-31,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1530,1530,HUD SAFMR,2017
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,454162,,2016-11-30,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1530,1530,HUD SAFMR,2017
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,458852,,2016-12-31,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1530,1530,HUD SAFMR,2017
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,465016,,2017-01-31,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1530,1530,HUD SAFMR,2017
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,471196,,2017-02-28,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1530,1530,HUD SAFMR,2017
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,475918,,2017-03-31,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1530,1530,HUD SAFMR,2017
93446 Paso Robles,zcta,93446,Paso Robles,35.6587228,-120.7187318,478481,,2017-04-30,10,0,Zillow ZIP-level market for Paso Robles; mapped with Census 2020 ZCTA 93446.,1530,1530,HUD SAFMR,2017
